Date,Close
16/5/2017,154.45
15/5/2017,154.6
12/5/2017,152.65
11/5/2017,154
10/5/2017,154.85
9/5/2017,154.05
8/5/2017,152.6
5/5/2017,152.3
4/5/2017,155.35
3/5/2017,156.2
2/5/2017,157.7
28/4/2017,153.1
27/4/2017,152.1
26/4/2017,153.75
25/4/2017,151.7
24/4/2017,151.95
21/4/2017,151.3
20/4/2017,152.15
19/4/2017,150.2
18/4/2017,148.15
17/4/2017,149.45
13/4/2017,150.5
12/4/2017,151.75
11/4/2017,153.4
10/4/2017,150.95
7/4/2017,150.6
6/4/2017,153.05
5/4/2017,152.65
3/4/2017,151.9
31/3/2017,150.55
30/3/2017,150.15
29/3/2017,150.6
28/3/2017,150.55
27/3/2017,148.6
24/3/2017,151.15
23/3/2017,151.6
22/3/2017,143.1
21/3/2017,145.9
20/3/2017,146.45
17/3/2017,144.8
16/3/2017,144.7
15/3/2017,140.9
14/3/2017,139.5
10/3/2017,137.1
9/3/2017,140.8
8/3/2017,141.4
7/3/2017,142.75
6/3/2017,143.25
3/3/2017,143.35
2/3/2017,141.1
1/3/2017,143.6
28/2/2017,138.05
27/2/2017,138.9
23/2/2017,139.25
22/2/2017,140
21/2/2017,141.6
20/2/2017,141.6
17/2/2017,140.15
16/2/2017,140.1
15/2/2017,138.75
14/2/2017,141.2
13/2/2017,141.95
10/2/2017,143.95
9/2/2017,143.9
8/2/2017,146.15
7/2/2017,141.65
6/2/2017,142.75
3/2/2017,141.85
2/2/2017,137.65
1/2/2017,130.1
31/1/2017,128.85
30/1/2017,130.45
27/1/2017,129.2
25/1/2017,128.35
24/1/2017,128.45
23/1/2017,127.9
20/1/2017,126.4
19/1/2017,130.5
18/1/2017,128.65
17/1/2017,127.6
16/1/2017,127.65
13/1/2017,128.35
12/1/2017,125.15
11/1/2017,127.55
10/1/2017,124.45
9/1/2017,124.75
6/1/2017,124.65
5/1/2017,125.2
4/1/2017,124.45
3/1/2017,124.45
2/1/2017,123.55
30/12/2016,122
29/12/2016,121.1
28/12/2016,119.6
27/12/2016,120.55
26/12/2016,117
23/12/2016,118.85
22/12/2016,119.4
21/12/2016,121.6
20/12/2016,121.25
19/12/2016,124.3
16/12/2016,124.3
15/12/2016,124.45
14/12/2016,122.75
13/12/2016,123.35
12/12/2016,123.35
9/12/2016,123.9
8/12/2016,123.85
7/12/2016,122.3
6/12/2016,123.4
5/12/2016,123.65
2/12/2016,121.55
1/12/2016,121.9
30/11/2016,123.85
29/11/2016,121.95
28/11/2016,120.95
25/11/2016,118.5
24/11/2016,115.1
23/11/2016,117.65
22/11/2016,117.3
21/11/2016,115.65
18/11/2016,120.1
17/11/2016,118.6
16/11/2016,121.3
15/11/2016,117
11/11/2016,118.65
10/11/2016,125.4
9/11/2016,121.9
8/11/2016,127.45
7/11/2016,128
4/11/2016,126.85
3/11/2016,131.35
2/11/2016,134.95
1/11/2016,138.6
30/10/2016,139.4
28/10/2016,139.95
27/10/2016,137.75
26/10/2016,145.4
25/10/2016,150
24/10/2016,154.05
21/10/2016,152.5
20/10/2016,152.35
19/10/2016,154.6
18/10/2016,151.9
17/10/2016,150.25
14/10/2016,153.2
13/10/2016,147.85
10/10/2016,151.65
7/10/2016,151.25
6/10/2016,150.9
5/10/2016,153.3
4/10/2016,141.8
3/10/2016,142.35
30/9/2016,139.6
29/9/2016,137
28/9/2016,146.75
27/9/2016,144.55
26/9/2016,140.65
23/9/2016,142.4
22/9/2016,138.9
21/9/2016,138.05
20/9/2016,138
19/9/2016,139.9
16/9/2016,139.85
15/9/2016,137
14/9/2016,137.45
12/9/2016,135.3
9/9/2016,139.7
8/9/2016,142.2
7/9/2016,142.2
6/9/2016,141.75
2/9/2016,141.6
1/9/2016,141.1
31/8/2016,140.25
30/8/2016,140.2
29/8/2016,139
26/8/2016,139.9
25/8/2016,140.45
24/8/2016,140.25
23/8/2016,139.6
22/8/2016,138.4
19/8/2016,141.25
18/8/2016,138.85
17/8/2016,137.65
16/8/2016,138.05
12/8/2016,136.95
11/8/2016,137.3
10/8/2016,137.75
9/8/2016,143.25
8/8/2016,142.9
5/8/2016,139.1
4/8/2016,138.3
3/8/2016,135.75
2/8/2016,138.4
1/8/2016,141
